RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000082868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082870	2	12	6	23	44	18	20	17	14	25	20	37	35	30	20
ENSMUSG00000082871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082872	2	4	1	3	0	1	0	2	3	0	0	1	1	0	0
ENSMUSG00000082873	6	5	8	3	4	0	1	2	3	1	3	0	1	5	2
ENSMUSG00000082874	2	4	3	1	3	3	2	1	2	3	3	2	3	3	1
ENSMUSG00000082875	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0
ENSMUSG00000082876	0	1	1	0	0	1	1	2	2	1	0	2	0	1	3
ENSMUSG00000082877	7	8	2	2	3	8	1	1	2	7	3	1	3	6	7
ENSMUSG00000082878	12	9	0	8	10	2	7	18	17	6	5	5	5	4	1
ENSMUSG00000082879	1	2	0	0	0	1	0	0	0	6	3	0	0	1	8
ENSMUSG00000082882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082884	0	2	0	1	0	0	3	1	1	0	1	2	0	0	0
ENSMUSG00000082886	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000082887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082888	0	0	0	0	0	0	0	0	0	4	0	1	4	0	1
ENSMUSG00000082889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082890	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082892	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ENSMUSG00000082893	5	1	0	0	0	0	1	1	0	0	0	1	2	0	0
ENSMUSG00000082894	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000082895	114	97	89	116	108	146	113	163	129	55	83	26	83	67	68
ENSMUSG00000082896	63	48	23	52	47	27	84	89	118	21	15	28	27	27	35
ENSMUSG00000082897	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0
ENSMUSG00000082898	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082900	4	3	5	9	6	9	16	26	8	13	6	5	9	7	11
ENSMUSG00000082901	6	9	8	2	4	12	10	8	7	9	1	4	6	2	5
ENSMUSG00000082902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082905	10	16	6	14	13	14	8	14	13	12	10	21	20	7	14
ENSMUSG00000082906	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000082907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082908	13	22	22	24	29	33	11	26	27	18	35	26	37	27	39
ENSMUSG00000082910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082915	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000082917	14	9	5	6	2	5	0	2	5	0	3	1	9	1	17
ENSMUSG00000082918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082919	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082920	4	4	3	4	4	35	1	4	6	6	5	3	7	8	9
ENSMUSG00000082922	26	22	16	4	3	0	2	0	4	2	6	9	4	8	18
ENSMUSG00000082924	0	0	0	1	0	0	3	1	1	2	4	2	0	0	3
ENSMUSG00000082925	4	0	1	4	0	0	2	1	0	1	3	0	0	0	0
ENSMUSG00000082926	9120	7876	7136	5839	5878	4712	4685	7204	5987	4064	4929	3794	4873	4245	4247
ENSMUSG00000082927	5	6	5	9	4	17	20	33	23	4	14	5	15	6	21
ENSMUSG00000082928	3	0	2	1	1	0	0	0	1	1	2	0	1	0	0
ENSMUSG00000082929	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000082930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082931	109	157	44	54	49	23	14	50	32	18	26	37	24	28	70
ENSMUSG00000082932	3	0	0	0	0	1	0	0	0	0	0	0	5	0	0
ENSMUSG00000082933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	67	96	60	122	98	56	87	92	104	56	77	65	63	63	78
ENSMUSG00000082936	15	28	2	3	1	6	3	3	6	3	11	12	1	3	4
ENSMUSG00000082937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082938	13	10	7	21	11	7	5	7	4	5	4	9	6	6	3
ENSMUSG00000082939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082940	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000082941	2	6	4	0	1	0	0	1	0	0	1	1	0	1	0
ENSMUSG00000082943	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000082945	0	3	0	1	1	0	0	0	0	0	0	0	2	0	6
ENSMUSG00000082947	2	4	2	3	0	1	5	4	6	2	2	5	2	1	5
ENSMUSG00000082949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082951	1	3	1	3	0	3	0	2	3	1	0	0	1	6	2
ENSMUSG00000082952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082953	9	12	5	4	5	0	2	1	4	1	5	2	5	3	5
ENSMUSG00000082954	4	2	3	2	1	3	1	0	1	1	1	0	0	4	4
ENSMUSG00000082955	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
ENSMUSG00000082956	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0
ENSMUSG00000082957	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000082958	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082960	3	1	0	2	1	0	1	0	0	0	0	3	0	0	0
ENSMUSG00000082961	6	3	4	4	3	1	3	4	4	1	2	3	2	3	1
ENSMUSG00000082962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082963	4	0	0	0	0	1	0	0	0	0	1	5	0	0	0
ENSMUSG00000082964	28	23	9	14	11	3	2	7	7	19	13	17	21	14	16
ENSMUSG00000082965	3	0	0	0	0	3	1	0	0	0	1	0	1	0	0
ENSMUSG00000082966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082967	5	2	1	4	3	5	2	3	3	1	1	3	0	7	0
ENSMUSG00000082968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082969	21	16	5	12	8	19	6	29	10	7	12	3	10	8	14
ENSMUSG00000082970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082975	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000082976	0	0	0	1	0	7	0	0	0	0	1	0	0	0	0
ENSMUSG00000082977	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000082978	176	159	176	161	185	241	238	288	247	119	144	83	140	114	144
ENSMUSG00000082980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082981	9	16	7	1	4	7	3	3	4	6	3	12	2	6	9
ENSMUSG00000082982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082983	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000082985	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0
ENSMUSG00000082986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082987	0	1	0	5	2	0	0	1	4	0	1	0	2	1	4
ENSMUSG00000082988	13	9	8	7	15	9	17	20	18	5	7	9	13	9	10
ENSMUSG00000082989	0	0	0	0	2	0	1	2	0	0	0	3	1	2	1
ENSMUSG00000082990	7	9	1	3	1	0	2	0	3	2	1	1	3	1	2
ENSMUSG00000082991	0	0	0	0	0	1	0	0	1	0	2	0	3	0	0
ENSMUSG00000082993	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0
ENSMUSG00000082994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082996	19	20	6	3	6	1	8	3	5	13	9	6	10	11	15
ENSMUSG00000082997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082998	33	42	29	32	38	37	23	57	45	16	32	38	40	33	29
ENSMUSG00000083000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083001	0	7	2	1	0	0	0	1	0	0	0	7	1	1	0
ENSMUSG00000083004	15	17	13	16	17	19	15	19	22	8	14	9	14	4	6
ENSMUSG00000083005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083006	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083007	17	25	18	14	13	11	14	27	24	9	12	10	21	12	16
ENSMUSG00000083008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083009	5	0	2	0	3	0	0	0	0	0	2	0	0	0	2
ENSMUSG00000083010	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
ENSMUSG00000083011	75	58	60	192	51	60	48	266	184	227	61	24	63	66	56
ENSMUSG00000083012	28	34	31	24	8	8	3	14	14	16	14	11	18	40	56
ENSMUSG00000083013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083014	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0
ENSMUSG00000083015	2	0	0	0	0	0	0	0	2	0	0	1	3	1	1
ENSMUSG00000083016	4	20	10	10	12	10	5	10	8	16	14	2	6	1	10
ENSMUSG00000083017	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083019	6	14	9	10	8	18	10	12	6	14	10	4	11	3	8
ENSMUSG00000083020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083022	156	177	98	98	71	88	66	120	104	113	156	101	139	141	183
ENSMUSG00000083023	0	1	0	0	0	0	0	0	1	3	0	2	4	1	4
ENSMUSG00000083024	0	3	4	0	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000083025	0	0	1	2	0	1	1	0	1	0	1	0	1	1	1
ENSMUSG00000083026	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083027	10	4	1	1	1	2	4	1	5	2	3	0	1	8	1
ENSMUSG00000083029	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083030	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083031	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSMUSG00000083032	3	0	0	1	0	2	0	0	0	3	4	0	2	0	0
ENSMUSG00000083033	43	37	127	38	36	59	39	55	176	23	34	12	26	27	19
ENSMUSG00000083034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083041	162	154	124	341	298	337	103	135	113	115	153	122	196	99	163
ENSMUSG00000083042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083043	2	2	0	3	0	2	0	1	0	2	3	6	2	1	1
ENSMUSG00000083044	3	7	6	12	10	17	16	31	19	14	9	6	16	10	14
ENSMUSG00000083045	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083046	5	3	3	5	11	17	3	2	0	2	3	5	6	4	6
ENSMUSG00000083047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083050	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000083052	2	0	0	1	1	2	0	0	0	0	1	0	0	3	0
ENSMUSG00000083053	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000083054	1	1	0	0	0	0	1	0	2	0	0	1	0	0	0
ENSMUSG00000083055	2	2	0	1	2	0	1	1	0	1	1	0	1	0	9
ENSMUSG00000083057	1	3	1	3	2	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000083058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083061	45	30	37	24	18	28	22	20	29	26	32	26	23	22	33
ENSMUSG00000083062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083064	16	44	15	32	47	13	32	41	32	29	14	15	34	32	19
ENSMUSG00000083065	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083070	4	2	0	0	1	0	0	2	1	0	0	0	0	0	6
ENSMUSG00000083072	2	0	0	1	1	1	6	4	1	0	7	2	1	1	2
ENSMUSG00000083073	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083075	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083076	2	1	0	3	0	0	0	1	0	0	1	0	2	1	3
ENSMUSG00000083077	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083078	2	0	0	0	0	1	0	0	1	1	1	0	1	0	1
ENSMUSG00000083079	31	0	15	0	0	1	0	0	0	0	1	1	1	0	2
ENSMUSG00000083080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083083	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
ENSMUSG00000083084	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000083085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083086	11	14	9	6	6	11	8	5	5	7	5	6	9	7	1
ENSMUSG00000083087	34	32	32	31	18	44	44	61	35	26	33	16	21	25	29
ENSMUSG00000083088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083089	6	2	1	4	6	8	2	5	2	4	2	1	4	5	4
ENSMUSG00000083090	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000083091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083093	7	2	3	0	2	0	0	2	1	2	0	0	0	1	0
ENSMUSG00000083094	0	1	0	2	0	1	0	2	2	2	0	0	0	0	0
ENSMUSG00000083096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083097	72	35	45	73	54	61	59	84	61	49	53	17	43	46	50
ENSMUSG00000083098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083100	9	13	9	8	4	3	2	6	6	9	14	10	8	12	38
ENSMUSG00000083101	7	5	1	6	7	1	7	8	5	8	4	3	6	7	2
ENSMUSG00000083103	1	1	0	0	0	0	0	0	0	4	0	0	0	0	1
ENSMUSG00000083104	59	73	41	13	59	35	13	22	13	21	19	23	23	16	44
ENSMUSG00000083105	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083107	10	3	0	0	1	1	0	6	1	0	2	6	7	1	6
ENSMUSG00000083109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083111	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0
ENSMUSG00000083112	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083113	1	0	1	0	0	1	0	1	0	2	0	0	0	0	0
ENSMUSG00000083114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083115	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
ENSMUSG00000083116	11	18	5	18	14	6	2	6	11	6	5	4	3	8	10
ENSMUSG00000083117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083118	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000083119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083120	0	0	0	0	0	0	0	0	0	0	0	2	10	0	2
ENSMUSG00000083121	18	27	20	25	20	26	23	20	17	25	33	10	24	19	17
ENSMUSG00000083122	0	1	0	1	1	0	0	2	1	0	3	0	1	1	0
ENSMUSG00000083123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083126	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083127	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083128	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083136	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083139	17	10	9	12	8	14	6	9	14	17	16	10	12	9	15
ENSMUSG00000083140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083147	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083149	7	4	2	0	0	1	0	0	1	1	1	2	0	2	0
ENSMUSG00000083150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083151	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083152	19	28	5	14	7	5	5	3	6	0	8	1	14	19	23
ENSMUSG00000083153	1	3	1	0	2	0	0	1	2	1	0	0	0	0	1
ENSMUSG00000083154	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083155	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000083156	4	0	0	4	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083157	8	13	5	2	4	1	1	0	3	3	7	2	4	1	3
ENSMUSG00000083158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083159	1	1	1	0	1	2	0	0	0	0	1	2	0	0	0
ENSMUSG00000083160	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083161	99	157	50	119	138	102	104	134	134	71	69	104	128	155	79
ENSMUSG00000083162	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083165	2	4	0	5	3	3	0	0	0	5	2	0	0	3	0
ENSMUSG00000083166	3	3	2	1	1	0	2	4	1	4	1	0	3	4	1
ENSMUSG00000083167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083168	2	0	0	0	1	3	0	0	3	0	3	3	0	0	5
ENSMUSG00000083169	2	0	0	1	3	0	0	0	0	0	2	3	2	1	1
ENSMUSG00000083170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083171	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0
ENSMUSG00000083172	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1
ENSMUSG00000083173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083176	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083177	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0
ENSMUSG00000083178	3	2	3	6	3	0	1	0	0	0	5	0	0	0	0
ENSMUSG00000083179	29	24	21	23	20	15	25	33	38	15	13	17	21	21	19
ENSMUSG00000083180	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000083181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083183	1	0	0	1	0	0	0	2	0	3	1	0	0	1	4
ENSMUSG00000083185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083186	0	0	0	3	0	0	1	1	1	1	10	5	3	3	13
ENSMUSG00000083188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083191	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083193	15	59	16	48	65	40	8	15	7	3	20	7	17	6	23
ENSMUSG00000083195	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000083196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083199	0	3	1	0	2	3	4	1	3	1	1	1	6	2	5
ENSMUSG00000083200	172	122	111	86	70	142	101	141	138	51	97	53	76	59	81
ENSMUSG00000083201	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000083202	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000083203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083204	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083206	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3
ENSMUSG00000083207	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083208	11	7	5	1	6	1	2	2	4	2	1	5	7	8	13
ENSMUSG00000083209	24	37	5	7	7	1	1	4	10	11	6	12	18	21	38
ENSMUSG00000083210	11	12	5	13	9	1	3	1	2	10	11	9	6	8	12
ENSMUSG00000083211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083212	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083215	1	2	0	1	0	0	1	2	1	1	0	1	1	1	0
ENSMUSG00000083216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083219	3	7	4	5	5	0	0	3	5	3	1	3	0	0	3
ENSMUSG00000083220	6	3	3	3	4	15	10	10	11	3	4	7	4	5	5
ENSMUSG00000083221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083222	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000083223	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083226	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0
ENSMUSG00000083227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083229	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083232	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083233	0	7	0	1	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000083234	1	0	2	0	0	0	3	0	1	0	0	0	0	0	4
ENSMUSG00000083235	0	4	0	3	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000083236	3	2	0	0	1	2	2	1	3	0	6	0	0	2	1
ENSMUSG00000083237	0	0	0	0	0	0	1	1	0	0	0	4	4	0	2
ENSMUSG00000083238	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083240	43	40	53	28	34	30	22	28	18	42	42	42	37	33	52
ENSMUSG00000083241	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083242	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083245	6	3	6	11	9	17	17	30	20	9	5	5	12	9	10
ENSMUSG00000083246	10	19	4	5	4	3	3	4	6	3	3	1	10	4	5
